Data	NLogN		N
100	152300		483100
3430	2030700		1312800
6760	2586600		956600
10090	5782000		1426500
13420	2984500		2745100
16750	1486000		1520700
20080	5763700		5392800
23410	6015100		1419800
26740	12080000	1528900
30070	10386700	1617100
33400	11505500	3676500
36730	5832000		2338600
40060	4514700		1731800
43390	4571700		1928200
46720	15163100	3529200
50050	5156400		2302400
53380	7090100		1707100
56710	9633500		1403700
60040	141683100	3220000
63370	7020900		1886400
66700	9864900		1896500
70030	131760300	2679800
73360	15046100	14840900
76690	13404500	2177600
80020	23874600	4410000
83350	11338800	2826900
86680	14063800	4268800
90010	11123600	7000100
93340	15819100	4098600
96670	15684600	7417200
100000	12526500	5499700
